2021-06-09 21:58:37,147 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-09 22:37:06,270 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-09 22:37:57,223 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-09 22:40:44,996 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-09 22:54:38,577 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-09 22:57:07,966 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-09 23:15:39,834 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-09 23:18:12,061 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-09 23:20:57,476 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2021-06-10 17:01:14,783 | DEBUG | org.springframework.boot.StartupInfoLogger | [main] | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
